iyear,imonth,country_txt,region_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,nkill,nwound,latitude,longitude,gname
2013,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,7.0,1.0,32.205466,64.989581,Taliban
2013,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,6.0,0.0,32.049116,64.861511,Taliban
2012,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,0.0,32.363889,64.781443,Taliban
2012,4,Afghanistan,South Asia,Armed Assault,Government (Diplomatic),Firearms,2.0,3.0,34.516895,69.147011,Haqqani Network
2017,3,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,3.0,35.58567,63.328087,Taliban
2017,7,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Explosives,4.0,1.0,36.042123,65.034646,Taliban
2013,5,Afghanistan,South Asia,Armed Assault,Business,Firearms,1.0,0.0,32.37001,62.128456,Unknown
2014,2,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,1.0,34.855582,69.649368,Taliban
2013,9,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,0.0,33.706199,69.383108,Taliban
2013,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,3.0,0.0,31.665015,65.495156,Taliban
2015,9,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,3.0,2.0,33.521174,64.416621,Taliban
2008,7,Afghanistan,South Asia,Armed Assault,Business,Incendiary,0.0,0.0,34.553889,70.242778,Taliban
2012,7,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,0.0,31.61088,65.700272,Unknown
2011,10,Afghanistan,South Asia,Armed Assault,Business,Firearms,1.0,8.0,31.631083,65.742226,Taliban
2015,11,Afghanistan,South Asia,Armed Assault,Police,Firearms,10.0,0.0,31.597309,63.848269,Taliban
2014,10,Afghanistan,South Asia,Armed Assault,Police,Firearms,6.0,0.0,33.967929,68.949888,Taliban
2013,2,Afghanistan,South Asia,Armed Assault,Police,Firearms,16.0,0.0,33.316667,68.45,Taliban
2015,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,2.0,4.0,34.490973,62.60209,Unknown
2017,1,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,2.0,36.066322,65.375885,Taliban
2008,9,Afghanistan,South Asia,Armed Assault,Government (General),Firearms,0.0,0.0,34.082771,68.761701,Taliban
2014,9,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,7.0,35.847119,65.23884,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,1.0,3.0,34.214554,69.099227,Taliban
2015,1,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,2.0,0.0,36.728591,68.868066,Unknown
2015,8,Afghanistan,South Asia,Armed Assault,Military,Firearms,0.0,0.0,32.307726,64.807475,Taliban
2014,12,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,1.0,3.0,34.788105,70.478894,Unknown
2014,1,Afghanistan,South Asia,Armed Assault,Police,Firearms,15.0,0.0,33.067612,68.066948,Taliban
2017,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,8.0,2.0,34.963067,69.250085,Taliban
2016,6,Afghanistan,South Asia,Armed Assault,Police,Firearms,8.0,1.0,31.429741,64.303745,Taliban
2014,1,Afghanistan,South Asia,Armed Assault,Private Citizens & Property,Firearms,5.0,0.0,34.800272,70.372528,Taliban
2017,6,Afghanistan,South Asia,Armed Assault,Military,Firearms,1.0,1.0,37.344592,69.537795,Taliban
2014,5,Afghanistan,South Asia,Armed Assault,Police,Firearms,5.0,0.0,37.024589,69.131362,Taliban
2015,4,Afghanistan,South Asia,Armed Assault,Police,Firearms,0.0,0.0,35.682993,64.054454,Taliban
